group_id,check,camera_id,date,time_first_photo_in_group,group_size,num_image_per_group
335,September_Check,K4-1,2014-04-30,0.2882638888888889,1,15
336,September_Check,K4-1,2014-04-30,0.3053240740740741,2,23
337,September_Check,K4-1,2014-04-30,0.33296296296296296,1,5
338,September_Check,K4-1,2014-04-30,0.38677083333333334,5,66
339,September_Check,K4-1,2014-04-30,0.4340162037037037,5,115
340,September_Check,K4-1,2014-04-30,0.4587037037037037,4,24
341,September_Check,K4-1,2014-04-30,0.4664699074074074,1,1
342,September_Check,K4-1,2014-04-30,0.4786111111111111,2,38
343,September_Check,K4-1,2014-04-30,0.49828703703703703,2,14
344,September_Check,K4-1,2014-04-30,0.5125925925925926,1,18
345,September_Check,K4-1,2014-04-30,0.6179976851851852,1,5
346,September_Check,K4-1,2014-04-30,0.622025462962963,1,90
347,September_Check,K4-1,2014-04-30,0.6340972222222222,1,33
348,September_Check,K4-1,2014-04-30,0.809525462962963,1,8
349,September_Check,K4-1,2014-04-30,0.826412037037037,1,5
350,September_Check,K4-1,2014-04-30,0.8333796296296296,1,4
351,September_Check,K4-1,2014-04-30,0.8481481481481481,1,25
352,September_Check,K4-1,2014-05-01,0.03556712962962963,1,10
353,September_Check,K4-1,2014-05-01,0.16145833333333334,1,40
354,September_Check,K4-1,2014-05-01,0.17572916666666666,1,5
355,September_Check,K4-1,2014-05-01,0.31899305555555557,6,211
356,September_Check,K4-1,2014-05-01,0.3358101851851852,1,25
357,September_Check,K4-1,2014-05-01,0.34219907407407407,4,15
358,September_Check,K4-1,2014-05-01,0.34751157407407407,1,8
359,September_Check,K4-1,2014-05-01,0.37475694444444446,1,15
360,September_Check,K4-1,2014-05-01,0.38005787037037037,6,79
361,September_Check,K4-1,2014-05-01,0.4245023148148148,5,85
362,September_Check,K4-1,2014-05-01,0.6769444444444445,2,5
363,September_Check,K4-1,2014-05-02,0.3337847222222222,2,43
364,September_Check,K4-1,2014-05-02,0.3966087962962963,2,82
365,September_Check,K4-1,2014-05-02,0.7505671296296297,1,9
366,September_Check,K4-1,2014-05-03,0.3531944444444444,4,27
367,September_Check,K4-1,2014-05-03,0.35983796296296294,1,2
368,September_Check,K4-1,2014-05-03,0.4038773148148148,4,62
369,September_Check,K4-1,2014-05-03,0.4560416666666667,2,40
370,September_Check,K4-1,2014-05-03,0.7634837962962963,3,15
371,September_Check,K4-1,2014-05-04,0.4064351851851852,1,10
372,September_Check,K4-1,2014-05-04,0.8173148148148148,1,5
373,September_Check,K4-1,2014-05-04,0.8620138888888889,1,5
374,September_Check,K4-1,2014-05-05,0.8909375,6,20
375,September_Check,K4-1,2014-05-05,0.9849768518518518,1,9
376,September_Check,K4-1,2014-05-06,0.3013425925925926,1,20
377,September_Check,K4-1,2014-05-06,0.3455787037037037,3,19
378,September_Check,K4-1,2014-05-06,0.39140046296296294,6,45
379,September_Check,K4-1,2014-05-08,0.32578703703703704,2,35
379,September_Check,K4-1,2014-05-09,0.32578703703703704,2,35
380,September_Check,K4-1,2014-05-09,0.4900462962962963,1,15
381,September_Check,K4-1,2014-05-09,0.4996990740740741,1,10
382,September_Check,K4-1,2014-05-09,0.8103935185185185,1,5
383,September_Check,K4-1,2014-05-09,0.8388888888888889,5,31
384,September_Check,K4-1,2014-05-10,0.4016087962962963,2,45
385,September_Check,K4-1,2014-05-10,0.8342939814814815,1,10
386,September_Check,K4-1,2014-05-12,0.3450347222222222,2,47
387,September_Check,K4-1,2014-05-12,0.35891203703703706,1,5
388,September_Check,K4-1,2014-05-12,0.7921759259259259,1,5
389,September_Check,K4-1,2014-05-12,0.804212962962963,1,10
390,September_Check,K4-1,2014-05-12,0.8107523148148148,2,20
391,September_Check,K4-1,2014-05-12,0.8276157407407407,1,4
392,September_Check,K4-1,2014-05-12,0.8339583333333334,1,8
393,September_Check,K4-1,2014-05-14,0.28283564814814816,1,15
394,September_Check,K4-1,2014-05-14,0.29138888888888886,5,35
395,September_Check,K4-1,2014-05-14,0.8165046296296297,1,16
396,September_Check,K4-1,2014-05-14,0.9855555555555555,1,40
397,September_Check,K4-1,2014-05-15,0.27359953703703704,1,20
398,September_Check,K4-1,2014-05-15,0.31114583333333334,7,90
399,September_Check,K4-1,2014-05-15,0.34313657407407405,3,30
400,September_Check,K4-1,2014-05-15,0.7766550925925926,1,25
401,September_Check,K4-1,2014-05-15,0.8435763888888889,1,10
402,September_Check,K4-1,2014-05-16,0.0525,1,15
403,September_Check,K4-1,2014-05-16,0.11202546296296297,1,30
404,September_Check,K4-1,2014-05-16,0.16105324074074073,1,5
405,September_Check,K4-1,2014-05-16,0.16515046296296296,1,5
406,September_Check,K4-1,2014-05-16,0.2943865740740741,2,35
407,September_Check,K4-1,2014-05-16,0.30894675925925924,1,10
408,September_Check,K4-1,2014-05-17,0.3193287037037037,1,25
409,September_Check,K4-1,2014-05-18,0.28957175925925926,1,9
