group_id,check,camera_id,date,time,count_species,time_first_photo_in_group,group_size,num_image_per_group,n_group_per_day
29,April_Check,C2-2,2013-10-25,17:49:30,2,0.7426851851851852,2,25,2
29,April_Check,C2-2,2013-10-25,17:49:31,2,0.7426851851851852,2,25,2
29,April_Check,C2-2,2013-10-25,17:49:32,2,0.7426851851851852,2,25,2
29,April_Check,C2-2,2013-10-25,17:50:44,2,0.7426851851851852,2,25,2
29,April_Check,C2-2,2013-10-25,17:50:45,2,0.7426851851851852,2,25,2
29,April_Check,C2-2,2013-10-25,17:50:46,2,0.7426851851851852,2,25,2
29,April_Check,C2-2,2013-10-25,17:50:47,2,0.7426851851851852,2,25,2
29,April_Check,C2-2,2013-10-25,17:50:48,2,0.7426851851851852,2,25,2
29,April_Check,C2-2,2013-10-25,17:51:36,2,0.7426851851851852,2,25,2
29,April_Check,C2-2,2013-10-25,17:51:37,2,0.7426851851851852,2,25,2
29,April_Check,C2-2,2013-10-25,17:51:38,2,0.7426851851851852,2,25,2
29,April_Check,C2-2,2013-10-25,17:51:39,2,0.7426851851851852,2,25,2
29,April_Check,C2-2,2013-10-25,17:51:40,2,0.7426851851851852,2,25,2
29,April_Check,C2-2,2013-10-25,17:52:00,2,0.7426851851851852,2,25,2
29,April_Check,C2-2,2013-10-25,17:52:07,1,0.7426851851851852,2,25,2
29,April_Check,C2-2,2013-10-25,17:52:08,1,0.7426851851851852,2,25,2
29,April_Check,C2-2,2013-10-25,17:52:09,1,0.7426851851851852,2,25,2
29,April_Check,C2-2,2013-10-25,17:52:09,1,0.7426851851851852,2,25,2
29,April_Check,C2-2,2013-10-25,17:52:10,1,0.7426851851851852,2,25,2
29,April_Check,C2-2,2013-10-25,17:52:12,1,0.7426851851851852,2,25,2
29,April_Check,C2-2,2013-10-25,17:52:13,1,0.7426851851851852,2,25,2
29,April_Check,C2-2,2013-10-25,17:52:14,1,0.7426851851851852,2,25,2
29,April_Check,C2-2,2013-10-25,17:52:15,1,0.7426851851851852,2,25,2
30,April_Check,C2-2,2013-10-25,18:31:43,2,0.7720254629629629,2,7,2
30,April_Check,C2-2,2013-10-25,18:31:44,2,0.7720254629629629,2,7,2
30,April_Check,C2-2,2013-10-25,18:31:45,2,0.7720254629629629,2,7,2
30,April_Check,C2-2,2013-10-25,18:31:46,2,0.7720254629629629,2,7,2
30,April_Check,C2-2,2013-10-25,18:31:47,2,0.7720254629629629,2,7,2
30,April_Check,C2-2,2013-10-25,18:32:03,1,0.7720254629629629,2,7,2
30,April_Check,C2-2,2013-10-25,18:32:04,1,0.7720254629629629,2,7,2
31,April_Check,C2-2,2013-10-26,06:31:29,1,0.27186342592592594,1,9,3
31,April_Check,C2-2,2013-10-26,06:31:30,1,0.27186342592592594,1,9,3
31,April_Check,C2-2,2013-10-26,06:31:31,1,0.27186342592592594,1,9,3
31,April_Check,C2-2,2013-10-26,06:31:32,1,0.27186342592592594,1,9,3
31,April_Check,C2-2,2013-10-26,06:31:32,1,0.27186342592592594,1,9,3
31,April_Check,C2-2,2013-10-26,06:31:58,1,0.27186342592592594,1,9,3
31,April_Check,C2-2,2013-10-26,06:31:58,1,0.27186342592592594,1,9,3
31,April_Check,C2-2,2013-10-26,06:31:59,1,0.27186342592592594,1,9,3
31,April_Check,C2-2,2013-10-26,06:32:00,1,0.27186342592592594,1,9,3
32,April_Check,C2-2,2013-10-26,13:06:55,1,0.5464699074074074,1,9,3
32,April_Check,C2-2,2013-10-26,13:07:29,1,0.5464699074074074,1,9,3
32,April_Check,C2-2,2013-10-26,13:07:30,1,0.5464699074074074,1,9,3
32,April_Check,C2-2,2013-10-26,13:07:31,1,0.5464699074074074,1,9,3
32,April_Check,C2-2,2013-10-26,13:07:32,1,0.5464699074074074,1,9,3
32,April_Check,C2-2,2013-10-26,13:07:33,1,0.5464699074074074,1,9,3
32,April_Check,C2-2,2013-10-26,13:07:34,1,0.5464699074074074,1,9,3
32,April_Check,C2-2,2013-10-26,13:07:36,1,0.5464699074074074,1,9,3
32,April_Check,C2-2,2013-10-26,13:07:37,1,0.5464699074074074,1,9,3
33,April_Check,C2-2,2013-10-26,19:25:09,1,0.8091319444444445,1,13,3
33,April_Check,C2-2,2013-10-26,19:25:10,1,0.8091319444444445,1,13,3
33,April_Check,C2-2,2013-10-26,19:25:10,1,0.8091319444444445,1,13,3
33,April_Check,C2-2,2013-10-26,19:25:11,1,0.8091319444444445,1,13,3
33,April_Check,C2-2,2013-10-26,19:25:38,1,0.8091319444444445,1,13,3
33,April_Check,C2-2,2013-10-26,19:25:39,1,0.8091319444444445,1,13,3
33,April_Check,C2-2,2013-10-26,19:25:40,1,0.8091319444444445,1,13,3
33,April_Check,C2-2,2013-10-26,19:25:41,1,0.8091319444444445,1,13,3
33,April_Check,C2-2,2013-10-26,19:25:44,1,0.8091319444444445,1,13,3
33,April_Check,C2-2,2013-10-26,19:25:45,1,0.8091319444444445,1,13,3
33,April_Check,C2-2,2013-10-26,19:25:46,1,0.8091319444444445,1,13,3
33,April_Check,C2-2,2013-10-26,19:25:46,1,0.8091319444444445,1,13,3
33,April_Check,C2-2,2013-10-26,19:25:47,1,0.8091319444444445,1,13,3
34,April_Check,C2-2,2013-10-28,13:58:10,1,0.5820601851851852,1,5,1
34,April_Check,C2-2,2013-10-28,13:58:12,1,0.5820601851851852,1,5,1
34,April_Check,C2-2,2013-10-28,13:58:12,1,0.5820601851851852,1,5,1
34,April_Check,C2-2,2013-10-28,13:58:13,1,0.5820601851851852,1,5,1
34,April_Check,C2-2,2013-10-28,13:58:14,1,0.5820601851851852,1,5,1
35,April_Check,C2-2,2013-11-01,16:30:05,1,0.6875578703703704,1,1,2
36,April_Check,C2-2,2013-11-01,18:37:53,1,0.7763078703703704,1,5,2
36,April_Check,C2-2,2013-11-01,18:37:55,1,0.7763078703703704,1,5,2
36,April_Check,C2-2,2013-11-01,18:37:55,1,0.7763078703703704,1,5,2
36,April_Check,C2-2,2013-11-01,18:37:56,1,0.7763078703703704,1,5,2
36,April_Check,C2-2,2013-11-01,18:37:57,1,0.7763078703703704,1,5,2
37,April_Check,C2-2,2013-11-02,02:06:01,1,0.08751157407407407,1,2,2
37,April_Check,C2-2,2013-11-02,02:06:02,1,0.08751157407407407,1,2,2
38,April_Check,C2-2,2013-11-02,13:47:18,1,0.5745138888888889,1,2,2
38,April_Check,C2-2,2013-11-02,13:47:19,1,0.5745138888888889,1,2,2
39,April_Check,C2-2,2013-11-05,04:12:01,1,0.17501157407407408,1,10,3
39,April_Check,C2-2,2013-11-05,04:12:02,1,0.17501157407407408,1,10,3
39,April_Check,C2-2,2013-11-05,04:12:03,1,0.17501157407407408,1,10,3
39,April_Check,C2-2,2013-11-05,04:12:04,1,0.17501157407407408,1,10,3
39,April_Check,C2-2,2013-11-05,04:12:04,1,0.17501157407407408,1,10,3
39,April_Check,C2-2,2013-11-05,04:12:11,1,0.17501157407407408,1,10,3
39,April_Check,C2-2,2013-11-05,04:12:12,1,0.17501157407407408,1,10,3
39,April_Check,C2-2,2013-11-05,04:12:13,1,0.17501157407407408,1,10,3
